Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0137061760542685,-4.02608356208415E-05,0.194085349912204,0,0,0,43.2353005730352,0.322323755820825,0.000186322259366965,-0.00116014654448856,0.324733446935408,-8.01566705603655E-05,0.404944691851585,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/base_link.STL,,W1092-X1-DPZJ_ASM-1/X1-FZTYB-1;W1092-X1-DPZJ_ASM-1/PZT-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPDPZ-1;W1092-X1-DPZJ_ASM-1/X1-ZK-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/X1-RLBG-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/X1-RLGDZJ-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_66-1;W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/X1-ZLGDZJ-1;W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/X1-ZLBG-1;W1092-X1-DPZJ_ASM-1/X1-DCG-1;W1092-X1-DPZJ_ASM-1/X1-SQK-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPXPZ-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-5;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-4;W1092-X1-DPZJ_ASM-1/X1-DPGDB-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPXPZ-2;W1092-X1-DPZJ_ASM-1/X1-DPXPZ-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-1;W1092-X1-DPZJ_ASM-1/X1-SK-1;W1092-X1-DPZJ_ASM-1/X1-DCSG-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-3;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-6;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-2;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-1;W1092-X1-DPZJ_ASM-1/150ZCZ-1;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-5;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-4;W1092-X1-DPZJ_ASM-1/X1-WBDT-1;W1092-X1-DPZJ_ASM-1/AJ-1;0001_ASM-1/XGJL-1;0001_ASM-1/SXTWK_ASJ-1;0001_ASM-1/XGJR-1;0001_ASM-1/4-1;0001_ASM-1/2-1;0001_ASM-1/0008-1;0001_ASM-1/3-1;0001_ASM-1/1-1;0001_ASM-1/0012-1;0001_ASM-1/SGJR-1;0001_ASM-1/SGJL-1;0001_ASM-1/0010-2/0010-1;0001_ASM-1/0010-1/0010-1;X1-0001_ASM-1/0016_ASM-1/00_2-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-4/WOAN29D811EEJUSZ_54-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_lun_r,9.00180478919971E-07,-0.00244021164935734,-3.65898872953067E-07,0,0,0,0.901364900147321,0.00132679581349837,-1.57579302788965E-07,2.89898046296342E-08,0.00222223473955512,-5.20334535698129E-07,0.00132647039319713,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_lun_r.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_lun_r.STL,,W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_4-1,Alun_R,lun_R,lun_r,continuous,1.26811545869603E-05,-0.173165463306213,0.0409439219440888,0,0,0,base_link,-0.000166166494857158,0.999999812284529,-0.000589762326570605,,,,,,,,,,,,
Link_lun_l,9.43032400280695E-07,0.00244021081726042,3.62981010052985E-07,0,0,0,0.901364800063489,0.00132679561879746,1.48599033454349E-07,-3.34151700040939E-08,0.00222223500466515,-5.21941348058257E-07,0.00132647158823421,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_lun_l.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_lun_l.STL,,W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_4-1,Alun_L,lun_L,lun_l,continuous,0,0.173161047129983,0.0399543097324108,0,0,0,base_link,-0.000158584580743976,-0.999999812284529,0.000591846125874665,,,,,,,,,,,,
Link_wxl_1_2,-0.00844593096887208,0.000246420176932827,-0.0177476592868618,0,0,0,0.056096193570535,2.19717106809301E-05,1.63250172881775E-07,-5.14176495334865E-06,1.78790261222041E-05,1.89047088263567E-07,2.03694264139165E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_1_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_1_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/WOAN29D811EEJUSZ_67-1,AWXL1_2,WXL1_2,wxl_1_2,continuous,0.137502259907299,-0.108002208088187,0.0347000000001152,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_1_1,0,1.38777878078145E-17,6.93889390390723E-18,0,0,0,0.123636759154767,2.3448917171524E-05,1.30809266734339E-18,-2.64697796016969E-23,3.31320244689737E-05,-1.05879118406788E-22,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_1_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_1_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/零件1^WXL_ASM-1,AWXL1_1,WXL1_1,wxl_1_1,continuous,-0.0199999999999933,-0.000399999999997305,-0.0394500000000039,0,0,0,Link_wxl_1_2,0,-1,0,,,,,,,,,,,,
Link_wxl_2_2,-0.00844593096887039,0.000246420176935019,-0.0177476592868626,0,0,0,0.0560961935705345,2.19717106809309E-05,1.63250172882521E-07,-5.14176495334853E-06,1.78790261222039E-05,1.89047088263093E-07,2.03694264139154E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_2_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_2_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/WOAN29D811EEJUSZ_67-1,AWXL2_2,WXL2_2,wxl_2_2,continuous,0.137502259907404,0.107997791911813,0.0346999999999738,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_2_1,0,0,0,0,0,0,0.123636759154767,2.3448917171524E-05,1.13559076804036E-18,1.32348898008484E-23,3.31320244689737E-05,1.30548952995569E-18,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_2_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_2_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/零件1^WXL_ASM-1,AWXL2_1,WXL2_1,wxl_2_1,continuous,-0.0199999999999894,-0.000399999999992351,-0.0394500000000059,0,0,0,Link_wxl_2_2,0,-1,0,,,,,,,,,,,,
Link_wxl_3_2,-0.00844593096887211,0.000246420176928552,-0.0177476592868618,0,0,0,0.0560961935705348,2.197171068093E-05,1.63250172878295E-07,-5.14176495334872E-06,1.78790261222039E-05,1.89047088266338E-07,2.03694264139162E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_3_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_3_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/WOAN29D811EEJUSZ_67-1,AWXL3_2,WXL3_2,wxl_3_2,continuous,-0.124997740092706,-0.11850220808806,0.0347000000000506,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_3_1,0,0,0,0,0,0,0.123636759154767,2.3448917171524E-05,1.48269312386048E-18,-2.64697796016969E-23,3.31320244689737E-05,2.93994548080127E-18,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_3_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_3_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/零件1^WXL_ASM-1,AWXL3_1,WXL3_1,wxl_3_1,continuous,-0.0199999999999936,-0.000400000000006312,-0.0394500000000037,0,0,0,Link_wxl_3_2,0,-1,0,,,,,,,,,,,,
Link_wxl_4_2,-0.00844593096887039,0.000246420176928594,-0.0177476592868629,0,0,0,0.0560961935705345,2.19717106809313E-05,1.63250172878173E-07,-5.14176495334835E-06,1.78790261222041E-05,1.89047088266382E-07,2.03694264139151E-05,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_4_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_1/meshes/Link_wxl_4_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-4/WOAN29D811EEJUSZ_67-1,AWXL4_2,WXL4_2,wxl_4_2,continuous,-0.124997740092591,0.11849779191194,0.0346999999998987,0,0,0,base_link,0,0,1,,,,,,,,,,,,
